requests,qdepth,trial,t_endtoend_ns,t_p50_ns,t_p99_ns,host_stack
16,16,0,5900796,2835332,5818397,spdk-t16-affine
16,16,1,5389947,1897536,5388277,spdk-t16-affine
16,16,2,5470458,1932813,5468698,spdk-t16-affine
16,16,3,5448913,1914562,5447292,spdk-t16-affine
16,16,4,5489322,1914030,5478734,spdk-t16-affine
16,16,5,5447613,1918128,5445471,spdk-t16-affine
16,16,6,5504181,1915150,5483090,spdk-t16-affine
16,16,7,5487752,1922225,5482545,spdk-t16-affine
16,16,8,5412144,1919655,5412144,spdk-t16-affine
16,16,9,5460526,1914531,5453872,spdk-t16-affine
16,16,10,5415955,1914363,5403580,spdk-t16-affine
16,16,11,5498289,1915496,5496391,spdk-t16-affine
16,16,12,5421947,2890236,5395364,spdk-t16-affine
16,16,13,5457682,1925135,5455655,spdk-t16-affine
16,16,14,5435842,1917635,5421444,spdk-t16-affine
16,16,15,5464251,1942179,5462410,spdk-t16-affine
16,16,16,5519926,2895377,5493782,spdk-t16-affine
16,16,17,5500073,1937413,5487964,spdk-t16-affine
16,16,18,5485551,1921115,5483505,spdk-t16-affine
16,16,19,5576467,2901486,5488973,spdk-t16-affine
16,16,20,5505786,1940037,5503680,spdk-t16-affine
16,16,21,5491268,1930588,5477732,spdk-t16-affine
16,16,22,5562133,1941675,5548856,spdk-t16-affine
16,16,23,5507513,2938768,5499509,spdk-t16-affine
16,16,24,5546719,1936557,5534434,spdk-t16-affine
16,16,25,5533908,31658,5533857,spdk-t16-affine
16,16,26,5652933,2923411,5563079,spdk-t16-affine
16,16,27,5607036,1921157,5513983,spdk-t16-affine
16,16,28,5498364,1941137,5496627,spdk-t16-affine
16,16,29,5558068,1940252,5545256,spdk-t16-affine
