requests,qdepth,trial,t_endtoend_ns,t_p50_ns,t_p99_ns,host_stack
4096,512,0,1901889,144184,192113,spdk-t4-affine
4096,512,1,1838682,143512,188708,spdk-t4-affine
4096,512,2,1801518,138442,183740,spdk-t4-affine
4096,512,3,1838458,143829,186803,spdk-t4-affine
4096,512,4,1843652,142569,186382,spdk-t4-affine
4096,512,5,1828422,142359,188226,spdk-t4-affine
4096,512,6,1822960,142710,186415,spdk-t4-affine
4096,512,7,1884888,149226,189899,spdk-t4-affine
4096,512,8,1866097,145897,190110,spdk-t4-affine
4096,512,9,1877608,147573,196034,spdk-t4-affine
