requests,qdepth,trial,t_endtoend_ns,t_p50_ns,t_p99_ns,host_stack
8,8,0,1976951,41203,46591,spdk-t8-affine
8,8,1,458267,37198,39368,spdk-t8-affine
8,8,2,377096,37296,46029,spdk-t8-affine
8,8,3,393910,36338,38078,spdk-t8-affine
8,8,4,372493,38978,43123,spdk-t8-affine
8,8,5,368662,36340,37491,spdk-t8-affine
8,8,6,435383,36364,107498,spdk-t8-affine
8,8,7,365612,35774,37756,spdk-t8-affine
8,8,8,369645,37123,44084,spdk-t8-affine
8,8,9,378836,36068,36712,spdk-t8-affine
8,8,10,358122,36269,36699,spdk-t8-affine
8,8,11,364915,36366,37267,spdk-t8-affine
8,8,12,358960,36570,37293,spdk-t8-affine
8,8,13,355240,36011,36960,spdk-t8-affine
8,8,14,360598,36261,38382,spdk-t8-affine
8,8,15,357397,36432,37276,spdk-t8-affine
8,8,16,357233,35936,38309,spdk-t8-affine
8,8,17,777726,35805,37694,spdk-t8-affine
8,8,18,352160,36387,37476,spdk-t8-affine
8,8,19,376234,36600,61234,spdk-t8-affine
8,8,20,366374,36545,36852,spdk-t8-affine
8,8,21,367932,36520,38723,spdk-t8-affine
8,8,22,366490,36156,36555,spdk-t8-affine
8,8,23,379457,35943,36777,spdk-t8-affine
8,8,24,366500,36101,37328,spdk-t8-affine
8,8,25,355876,35713,36982,spdk-t8-affine
8,8,26,516847,35662,117810,spdk-t8-affine
8,8,27,351748,35125,36258,spdk-t8-affine
8,8,28,335846,34937,35793,spdk-t8-affine
8,8,29,338200,35254,35695,spdk-t8-affine
