requests,qdepth,trial,t_endtoend_ns,t_p50_ns,t_p99_ns,host_stack
4,4,0,179593,31381,31836,spdk-t4-affine
4,4,1,151744,31228,31250,spdk-t4-affine
4,4,2,134753,31072,31126,spdk-t4-affine
4,4,3,86946,30869,30905,spdk-t4-affine
4,4,4,91858,31029,36221,spdk-t4-affine
4,4,5,129949,31131,31189,spdk-t4-affine
4,4,6,87295,31007,31007,spdk-t4-affine
4,4,7,86234,31010,31021,spdk-t4-affine
4,4,8,85891,30809,30849,spdk-t4-affine
4,4,9,85947,30981,31054,spdk-t4-affine
4,4,10,86167,30898,30935,spdk-t4-affine
4,4,11,85610,30891,30894,spdk-t4-affine
4,4,12,85940,30909,30965,spdk-t4-affine
4,4,13,85444,30834,31064,spdk-t4-affine
4,4,14,86429,30927,30966,spdk-t4-affine
4,4,15,85430,30896,30980,spdk-t4-affine
4,4,16,90036,30951,34011,spdk-t4-affine
4,4,17,85744,30920,30989,spdk-t4-affine
4,4,18,89073,31010,32967,spdk-t4-affine
4,4,19,86495,30906,30935,spdk-t4-affine
4,4,20,86174,30823,30871,spdk-t4-affine
4,4,21,85872,31029,31171,spdk-t4-affine
4,4,22,86383,30905,30961,spdk-t4-affine
4,4,23,86937,30924,31009,spdk-t4-affine
4,4,24,86521,30846,30951,spdk-t4-affine
4,4,25,86306,30933,31001,spdk-t4-affine
4,4,26,86421,30978,31027,spdk-t4-affine
4,4,27,86095,30894,31034,spdk-t4-affine
4,4,28,86496,30875,30913,spdk-t4-affine
4,4,29,86103,30903,30910,spdk-t4-affine
