layout,shape,host_pages,planes_sensed,requests,qdepth,host_e2e_us_median,device_lat_ns,host_stack,notes
1page_compute,NEW_compute,1,512,1,1,48,34152,io_uring,"S1a/E2: 1-page --compute; residual ~13.8us; warm46/med48/cold200"
1page_compute,NEW_compute,1,512,1,1,34.84,34152,spdk,"S1a: 1-page --compute; residual 0.68us; min34.78/max35.67/p99 35.67 (n=15)"
1page_compute_8seq,NEW_compute,1,512,8,1,337,34152,io_uring,"E3a: 8 compute cmds qd1; per-op p50 ~42us"
1page_compute_8seq,NEW_compute,1,512,8,1,278,34152,spdk,"S1c: 8 compute cmds qd1; per-op p50 34.7us"
1page_compute_8pipe,NEW_compute,1,512,8,8,52,34152,io_uring,"E3b: 8 compute cmds qd8; reported shared-round (no true device concurrency)"
1page_compute_8pipe,NEW_compute,1,512,8,8,245,34152,spdk,"S1b: 8 compute cmds qd8; concurrent all-plane SERIALIZE on device (dmesg ladder 34->43->61->...->157us); p50 154.7 p99 244.7"
