harness,num_service_units,N_or_iodepth,qdepth,threads,T_model_ns,measured_e2e_ns,measured_MIOPS,abs_err,rel_err,reqsize_bytes,num_requests
swarmio,8,32,1,1,38000,72544,0.4411,34544,0.909053,131072,1
swarmio,8,64,1,1,38000,94622,0.6764,56622,1.490053,262144,1
swarmio,8,128,1,1,38000,138522,0.9240,100522,2.645316,524288,1
swarmio,8,256,1,1,38000,256279,0.9989,218279,5.744184,1048576,1
swarmio,8,512,1,1,38000,478778,1.0694,440778,11.599421,2097152,1
swarmio,8,1024,2,1,76000,811417,1.2620,735417,9.676539,2097152,2
