reqsize_bytes,pages,luns_total,luns_per_ch,host_e2e_ns,device_lat_ns
4096,1,1,1,43509,30152
262144,64,64,4,117117,30152
524288,128,128,8,176381,30152
1048576,256,256,16,381157,30152
2097152,512,512,32,537984,30152
