requests,qdepth,trial,t_endtoend_ns,t_p50_ns,t_p99_ns,host_stack
2,2,0,110806,31599,31599,spdk-t2-affine
2,2,1,82556,30962,30962,spdk-t2-affine
2,2,2,79626,30923,30923,spdk-t2-affine
2,2,3,78918,31001,31001,spdk-t2-affine
2,2,4,78572,30894,30894,spdk-t2-affine
2,2,5,78238,30920,30920,spdk-t2-affine
2,2,6,80119,31092,31092,spdk-t2-affine
2,2,7,78011,30929,30929,spdk-t2-affine
2,2,8,77273,30913,30913,spdk-t2-affine
2,2,9,77344,30956,30956,spdk-t2-affine
2,2,10,77223,30902,30902,spdk-t2-affine
2,2,11,77046,30904,30904,spdk-t2-affine
2,2,12,77464,30908,30908,spdk-t2-affine
2,2,13,77151,30906,30906,spdk-t2-affine
2,2,14,77311,31014,31014,spdk-t2-affine
2,2,15,77266,30915,30915,spdk-t2-affine
2,2,16,77185,30929,30929,spdk-t2-affine
2,2,17,77457,30823,30823,spdk-t2-affine
2,2,18,77284,30870,30870,spdk-t2-affine
2,2,19,77095,30968,30968,spdk-t2-affine
2,2,20,76443,30877,30877,spdk-t2-affine
2,2,21,76918,31000,31000,spdk-t2-affine
2,2,22,77148,30865,30865,spdk-t2-affine
2,2,23,76747,30977,30977,spdk-t2-affine
2,2,24,76889,30910,30910,spdk-t2-affine
2,2,25,77702,30992,30992,spdk-t2-affine
2,2,26,77531,31014,31014,spdk-t2-affine
2,2,27,76449,30833,30833,spdk-t2-affine
2,2,28,76618,30979,30979,spdk-t2-affine
2,2,29,77149,30915,30915,spdk-t2-affine
