compute_result_size,reqsize_bytes,pages,luns_total,luns_per_ch,device_lat_ns,t_cmd_ns
64,4096,1,1,1,30152,152
64,262144,64,64,4,30152,152
64,524288,128,128,8,30152,152
64,1048576,256,256,16,30152,152
64,2097152,512,512,32,30152,152
4096,4096,1,1,1,34864,4864
4096,262144,64,64,4,46864,16864
4096,524288,128,128,8,66864,36864
4096,1048576,256,256,16,102864,72864
4096,2097152,512,512,32,134864,104864
