requests,qdepth,trial,t_endtoend_ns,t_p50_ns,t_p99_ns,host_stack
32,32,0,1761156,32823,33698,spdk-t8-affine
32,32,1,169730,32441,33420,spdk-t8-affine
32,32,2,142447,32256,33156,spdk-t8-affine
32,32,3,163360,32295,33582,spdk-t8-affine
32,32,4,139981,32437,33380,spdk-t8-affine
32,32,5,141772,32313,33463,spdk-t8-affine
32,32,6,336412,32375,33479,spdk-t8-affine
32,32,7,142470,32224,33172,spdk-t8-affine
32,32,8,138218,32302,33440,spdk-t8-affine
32,32,9,236557,32501,199545,spdk-t8-affine
32,32,10,139511,32175,33108,spdk-t8-affine
32,32,11,137965,32147,33665,spdk-t8-affine
32,32,12,138631,32242,33731,spdk-t8-affine
32,32,13,138955,32307,33148,spdk-t8-affine
32,32,14,138913,32191,33810,spdk-t8-affine
32,32,15,139062,32168,33496,spdk-t8-affine
32,32,16,137894,32261,33192,spdk-t8-affine
32,32,17,138058,32401,33225,spdk-t8-affine
32,32,18,137822,32303,33354,spdk-t8-affine
32,32,19,245569,32213,33229,spdk-t8-affine
32,32,20,326588,32282,33195,spdk-t8-affine
32,32,21,142124,32141,33263,spdk-t8-affine
32,32,22,164171,32317,33689,spdk-t8-affine
32,32,23,182397,32465,33784,spdk-t8-affine
32,32,24,184973,32333,33301,spdk-t8-affine
32,32,25,157316,32354,33646,spdk-t8-affine
32,32,26,152776,32231,33300,spdk-t8-affine
32,32,27,150850,32342,33926,spdk-t8-affine
32,32,28,150341,32308,33992,spdk-t8-affine
32,32,29,137288,32122,33215,spdk-t8-affine
