requests,qdepth,trial,t_endtoend_ns,t_p50_ns,t_p99_ns,host_stack
4096,512,0,48244915,169740,6000548,spdk-t16-affine
4096,512,1,53179354,177935,8996365,spdk-t16-affine
4096,512,2,50251691,181306,6000450,spdk-t16-affine
4096,512,3,50287742,160636,6064308,spdk-t16-affine
4096,512,4,50225875,187343,6003184,spdk-t16-affine
4096,512,5,50174813,164576,6064232,spdk-t16-affine
4096,512,6,47217419,188599,5999911,spdk-t16-affine
4096,512,7,47236129,188134,6001890,spdk-t16-affine
4096,512,8,47246726,180745,6000735,spdk-t16-affine
4096,512,9,47258031,179399,5999865,spdk-t16-affine
